model,exact_match,micro_f1,macro_f1,weighted_f1,sample_f1,jaccard,hit_at_1,hit_at_5,hit_at_10
NN,0.6542712066905615,0.7119894598155467,0.14996228174017304,0.7017339065006821,0.720881929036051,0.7038913305266352,0.7418359219434488,0.8993926722421346,0.9378235762644365
NN + KeyBERT keywords,0.6711967343687774,0.7274592400200799,0.16488183322388525,0.7183091266428849,0.7353294314539834,0.7190936071760443,0.7557745917960972,0.9014336917562724,0.9377240143369175
Fine-tuned NN,0.7071883711668658,0.7649092292640505,0.19913219204682514,0.7582347136485115,0.771889796008673,0.7554581863609642,0.7914675428116288,0.9223416965352449,0.9505675029868578
Fine-tuned NN + KeyBERT keywords,0.7013639984070091,0.7594787247999301,0.1626956713618248,0.7470272799698587,0.7658178222171651,0.7495702836092621,0.7869374751095182,0.9171146953405018,0.9488251692552768
